a4Pcode,strata,samples,population,strata_sample,strata_population,cluster_weight,strata_weight,final_weight,final_weight_normalized
UKR1420983001,20KM_Rural,4,1162,265,89421,0.860899565,0.322480187,0.277623053,6.660572027
UKR1420985503,20KM_Rural,4,1054,265,89421,0.780884803,0.322480187,0.251819877,6.04151714
UKR1420985505,20KM_Rural,4,512,265,89421,0.37932924,0.322480187,0.122326164,2.934778725
UKR1420987501,20KM_Rural,4,1333,265,89421,0.987589604,0.322480187,0.31847808,7.640742265
UKR1421555101,20KM_Rural,4,544,265,89421,0.403037318,0.322480187,0.12997155,3.118202395
UKR1421581201,20KM_Rural,4,1090,265,89421,0.807556391,0.322480187,0.260420936,6.247868769
UKR1421581401,20KM_Rural,4,1196,265,89421,0.886089397,0.322480187,0.285746275,6.855459677
UKR1421583601,20KM_Rural,4,1429,265,89421,1.058713837,0.322480187,0.341414236,8.191013276
UKR1421583702,20KM_Rural,4,929,265,89421,0.688275126,0.322480187,0.221955091,5.325018428
UKR1421587204,20KM_Rural,4,637,265,89421,0.471938918,0.322480187,0.152190951,3.651277437
UKR1421781602,20KM_Rural,4,84,265,89421,0.062233703,0.322480187,0.020069136,0.481487135
UKR1421782201,20KM_Rural,4,1718,265,89421,1.272827412,0.322480187,0.410461622,9.847558299
UKR1421783302,20KM_Rural,4,817,265,89421,0.605296854,0.322480187,0.195196243,4.683035582
UKR1422482501,20KM_Rural,4,1466,265,89421,1.086126301,0.322480187,0.350254213,8.403096895
UKR1422483003,20KM_Rural,4,591,265,89421,0.437858557,0.322480187,0.141200709,3.387605911
UKR1422485504,20KM_Rural,4,627,265,89421,0.464530144,0.322480187,0.149801768,3.59395754
UKR1422783415,20KM_Rural,4,274,265,89421,0.203000414,0.322480187,0.065463611,1.570565177
UKR1423381103,20KM_Rural,4,414,265,89421,0.306723253,0.322480187,0.098912172,2.373043734
UKR1423383501,20KM_Rural,4,778,265,89421,0.576402635,0.322480187,0.185878429,4.459487984
UKR1423385401,20KM_Rural,4,999,265,89421,0.740136545,0.322480187,0.238679371,5.726257707
UKR1423388503,20KM_Rural,4,205,265,89421,0.151879872,0.322480187,0.048978249,1.175057888
UKR1425583201,20KM_Rural,4,879,265,89421,0.651231254,0.322480187,0.210009177,5.038418943
UKR1425585403,20KM_Rural,4,800,265,89421,0.592701938,0.322480187,0.191134632,4.585591757
UKR1425587307,20KM_Rural,4,521,265,89421,0.385997137,0.322480187,0.124476429,2.986366632
UKR4423857502,20KM_Rural,4,855,265,89421,0.633450196,0.322480187,0.204275138,4.90085119
UKR4424855401,20KM_Rural,4,231,265,89421,0.171142685,0.322480187,0.055190125,1.32408962
UKR4424884502,20KM_Rural,4,256,265,89421,0.18966462,0.322480187,0.061163082,1.467389362
UKR4424885501,20KM_Rural,4,920,265,89421,0.681607229,0.322480187,0.219804827,5.273430521
UKR1423385405,20KM_Rural,2,41,265,89421,0.060751949,0.322480187,0.0195913,0.470023155
UKR1410300000,"20KM_Urban_<100,000",220,75798,472,199916,0.813447466,0.404776176,0.329264155,7.899515546
UKR1423310600,"20KM_Urban_<100,000",52,19511,472,199916,0.885871297,0.404776176,0.358579596,8.60283469
UKR1421510100,"20KM_Urban_<100,000",32,22502,472,199916,1.660219792,0.404776176,0.67201742,16.12265402
UKR1412365300,"20KM_Urban_<100,000",20,10578,472,199916,1.248728466,0.404776176,0.505455534,12.1265974
UKR4423858200,"20KM_Urban_<100,000",20,4164,472,199916,0.491558455,0.404776176,0.198971152,4.773601019
UKR1411247200,"20KM_Urban_<100,000",16,3532,472,199916,0.521188899,0.404776176,0.21096485,5.061346902
UKR1413870300,"20KM_Urban_<100,000",16,11110,472,199916,1.639413554,0.404776176,0.66359555,15.92060138
UKR1413845900,"20KM_Urban_<100,000",12,2865,472,199916,0.563686748,0.404776176,0.228166967,5.47405016
UKR4412945200,"20KM_Urban_<100,000",12,5791,472,199916,1.139375204,0.404776176,0.461191939,11.06465078
